iter	RMSE
0	14.56821992
1	14.15154883
2	13.71099126
3	13.32808103
4	12.98848405
5	12.66532867
6	12.38944309
7	12.11381526
8	11.83323089
9	11.58817719
10	11.27511504
11	10.96550737
12	10.72369937
13	10.46564395
14	10.23649614
15	9.996847924
16	9.769255344
17	9.547024558
18	9.335894524
19	9.141942717
20	8.954866379
21	8.793763705
22	8.672490761
23	8.51176886
24	8.376030677
25	8.239575778
26	8.104880864
27	7.963917352
28	7.847206805
29	7.735115168
30	7.631439885
31	7.538180141
32	7.441181571
33	7.360473275
34	7.269542922
35	7.211972276
36	7.125486364
37	7.046425341
38	6.992593253
39	6.926734195
40	6.872623003
41	6.806582378
42	6.740287341
43	6.680057409
44	6.62423204
45	6.572649059
46	6.533229244
47	6.493921852
48	6.450891445
49	6.398918655
50	6.359273717
51	6.3167035
52	6.281390792
53	6.245607329
54	6.208864556
55	6.17643563
56	6.143687914
57	6.11311015
58	6.085271288
59	6.057282605
60	6.034467075
61	6.010973636
62	5.99126165
63	5.971003937
64	5.948122904
65	5.92435175
66	5.901361653
67	5.883242344
68	5.866288407
69	5.847897129
70	5.831433412
71	5.81599711
72	5.801006453
73	5.787197465
74	5.773684516
75	5.761071897
76	5.74642955
77	5.736973718
78	5.718341129
79	5.708066491
80	5.696518469
81	5.683793062
82	5.672715177
83	5.658547863
84	5.6442558
85	5.63589747
86	5.625011251
87	5.617705557
88	5.606833832
89	5.599013571
90	5.592968977
91	5.585712868
92	5.575820838
93	5.564224262
94	5.553951717
95	5.548473292
96	5.543786404
97	5.53200008
98	5.522988011
99	5.515573423
100	5.510174159
101	5.496451729
102	5.489118497
103	5.481534038
104	5.476576144
105	5.471091382
106	5.466820251
107	5.457426028
108	5.445804455
109	5.440028436
110	5.431134488
111	5.425043124
112	5.417553518
113	5.410537918
114	5.405693741
115	5.400816188
116	5.395852636
117	5.392472528
118	5.39083562
119	5.386318781
120	5.381550077
121	5.374320581
122	5.36797285
123	5.363982125
124	5.360933018
125	5.357990856
126	5.353763583
127	5.351151212
128	5.346643843
129	5.344372505
130	5.339277319
131	5.332279246
132	5.328535021
133	5.324719777
134	5.319207766
135	5.316559794
136	5.313562304
137	5.309436897
138	5.306903804
139	5.302307168
140	5.299717897
141	5.298889895
142	5.295026688
143	5.292095667
144	5.290025468
145	5.283487295
146	5.277330966
147	5.274958096
148	5.272694781
149	5.269028868
150	5.265649941
151	5.263836986
152	5.260138674
153	5.254478515
154	5.251414495
155	5.249667078
156	5.245619858
157	5.243187969
158	5.238249996
159	5.235126176
160	5.232328194
161	5.229338248
162	5.228223365
163	5.225881906
164	5.225651143
165	5.22314572
166	5.220560664
167	5.216563049
168	5.211807702
169	5.211592624
170	5.209393908
171	5.205704806
172	5.20216347
173	5.200585595
174	5.200368902
175	5.199195596
176	5.197396304
177	5.196586164
178	5.194958455
179	5.189988564
180	5.187641773
181	5.187428057
182	5.184615484
183	5.184333114
184	5.1838158
185	5.183616309
186	5.181934802
187	5.180756097
188	5.177170666
189	5.17237674
190	5.166060903
191	5.165896104
192	5.159401151
193	5.153504716
194	5.150601708
195	5.1463871
196	5.145315316
197	5.143214357
198	5.143016914
199	5.138526676
200	5.133373503
201	5.12792683
202	5.12665079
203	5.121534836
204	5.120484553
205	5.118661257
206	5.116298502
207	5.114363592
208	5.10971477
209	5.10957336
210	5.109426103
211	5.109266662
212	5.105022849
213	5.104815375
214	5.104654622
215	5.103326124
216	5.102920046
217	5.101870523
218	5.101711123
219	5.098138066
220	5.093871551
221	5.093455971
222	5.093306106
223	5.087539029
224	5.087376688
225	5.087218247
226	5.087088223
227	5.08511476
228	5.082800487
229	5.082661932
230	5.082323338
231	5.082203627
232	5.082065071
233	5.077303852
234	5.07232037
235	5.072204987
236	5.067186347
237	5.067078174
238	5.066938429
239	5.066827813
240	5.066723353
241	5.066603947
242	5.061608965
243	5.059321377
244	5.059214718
245	5.05581338
246	5.053357612
247	5.050759114
248	5.050601052
249	5.050271232
250	5.047621955
251	5.042914768
252	5.042842696
253	5.042505929
254	5.041000916
255	5.037674818
256	5.036533823
257	5.036386313
258	5.032953413
259	5.032641041
260	5.032552352
261	5.027458903
262	5.027389376
263	5.023359324
264	5.018290121
265	5.015438908
266	5.015363641
267	5.010394447
268	5.010185916
269	5.006558062
270	5.004922331
271	5.003965065
272	4.999972694
273	4.996859902
274	4.994093463
275	4.991760696
276	4.988728564
277	4.988477369
278	4.988232386
279	4.986959158
280	4.984452617
281	4.982775963
282	4.98176079
283	4.981685988
284	4.976691642
285	4.972111865
286	4.972050667
287	4.97072574
288	4.968521775
289	4.965144453
290	4.963541907
291	4.959257785
292	4.955154395
293	4.955083003
294	4.953344576
295	4.949850588
296	4.945500663
297	4.945249384
298	4.942079781
299	4.940147235
