iter	Passed	Remaining
0	1	332
1	2	317
2	3	328
3	4	320
4	5	317
5	6	314
6	7	306
7	8	297
8	9	304
9	10	304
10	11	305
11	12	302
12	13	298
13	14	296
14	15	294
15	16	292
16	17	287
17	18	283
18	19	281
19	19	277
20	20	275
21	21	272
22	22	272
23	23	271
24	24	270
25	25	268
26	26	268
27	27	268
28	28	266
29	29	264
30	30	262
31	31	260
32	32	259
33	33	259
34	34	258
35	34	256
36	36	257
37	37	256
38	38	255
39	39	253
40	39	251
41	40	250
42	41	248
43	42	247
44	43	246
45	44	244
46	45	242
47	45	241
48	47	240
49	48	240
50	49	239
51	50	238
52	50	237
53	51	236
54	52	235
55	53	234
56	55	234
57	56	233
58	56	232
59	57	231
60	58	230
61	59	229
62	60	228
63	61	227
64	63	228
65	64	227
66	65	227
67	66	227
68	68	230
69	69	229
70	71	231
71	72	230
72	73	229
73	74	228
74	75	227
75	76	225
76	77	224
77	78	222
78	79	221
79	79	219
80	80	218
81	81	216
82	82	215
83	83	213
84	83	212
85	84	210
86	85	209
87	86	208
88	87	207
89	88	207
90	89	206
91	91	205
92	91	204
93	92	203
94	93	202
95	94	201
96	95	200
97	96	198
98	97	197
99	98	196
100	99	195
101	100	194
102	101	193
103	102	193
104	103	192
105	104	190
106	105	189
107	106	189
108	107	188
109	108	187
110	109	186
111	110	185
112	111	183
113	111	182
114	112	181
115	113	180
116	114	178
117	115	178
118	116	177
119	117	176
120	118	175
121	120	175
122	121	174
123	122	173
124	123	172
125	124	171
126	124	169
127	125	168
128	126	167
129	127	166
130	128	165
131	129	164
132	130	163
133	131	162
134	131	161
135	132	159
136	133	158
137	134	157
138	134	156
139	135	154
140	136	153
141	137	152
142	138	151
143	138	150
144	139	149
145	140	148
146	141	147
147	142	146
148	143	145
149	144	144
150	145	143
151	145	142
152	146	140
153	147	140
154	149	139
155	149	138
156	151	137
157	152	136
158	153	135
159	154	134
160	154	133
161	156	133
162	157	132
163	158	131
164	159	130
165	160	129
166	161	128
167	162	127
168	163	126
169	164	125
170	165	124
171	166	123
172	167	122
173	167	121
174	168	120
175	169	119
176	170	118
177	171	117
178	172	116
179	173	115
180	174	114
181	175	113
182	175	112
183	176	111
184	177	110
185	178	109
186	179	108
187	180	107
188	181	106
189	183	105
190	183	104
191	184	103
192	185	102
193	186	101
194	186	100
195	187	99
196	188	98
197	189	97
198	190	96
199	190	95
200	191	94
201	192	93
202	193	92
203	194	91
204	195	90
205	196	89
206	196	88
207	197	87
208	198	86
209	199	85
210	199	84
211	200	83
212	201	82
213	201	81
214	202	80
215	203	79
216	204	78
217	204	77
218	205	76
219	206	75
220	207	74
221	208	73
222	209	72
223	209	71
224	210	70
225	211	69
226	212	68
227	213	67
228	214	66
229	215	65
230	215	64
231	216	63
232	217	62
233	218	61
234	219	60
235	220	59
236	221	58
237	222	57
238	223	56
239	223	55
240	224	54
241	225	54
242	226	53
243	227	52
244	227	51
245	228	50
246	229	49
247	230	48
248	230	47
249	231	46
250	232	45
251	233	44
252	233	43
253	234	42
254	235	41
255	236	40
256	237	39
257	237	38
258	238	37
259	239	36
260	240	35
261	240	34
262	241	33
263	242	33
264	243	32
265	243	31
266	244	30
267	245	29
268	246	28
269	246	27
270	247	26
271	248	25
272	249	24
273	250	23
274	251	22
275	252	21
276	253	21
277	253	20
278	254	19
279	255	18
280	256	17
281	257	16
282	257	15
283	258	14
284	259	13
285	260	12
286	261	11
287	262	10
288	263	10
289	264	9
290	265	8
291	266	7
292	266	6
293	267	5
294	268	4
295	269	3
296	270	2
297	271	1
298	272	0
299	273	0
